Event,I_Injected(pA),Event start ,Event end ,Ramp_start,Ramp_end,filename,state
13.0,145.0,1456.0,1463.69995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
13.0,145.0,1505.19995117187,1513.19995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
13.0,145.0,1556.59997558593,1568.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
14.0,155.0,1237.90002441406,1242.40002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
14.0,155.0,1290.80004882812,1295.69995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
14.0,155.0,1336.59997558593,1341.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
14.0,155.0,1381.09997558593,1387.09997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
14.0,155.0,1421.69995117187,1428.69995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
14.0,155.0,1464.69995117187,1473.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
14.0,155.0,1515.40002441406,1525.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
14.0,155.0,1566.30004882812,1578.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
14.0,155.0,2073.89990234375,2079.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
15.0,165.0,1225.30004882812,1229.69995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
15.0,165.0,1276.90002441406,1281.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
15.0,165.0,1322.90002441406,1328.30004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
15.0,165.0,1367.59997558593,1373.80004882812,1080.0,2080.0,S1C4 03062025.xlsx,Pre
15.0,165.0,1407.30004882812,1414.90002441406,1080.0,2080.0,S1C4 03062025.xlsx,Pre
15.0,165.0,1449.40002441406,1458.59997558593,1080.0,2080.0,S1C4 03062025.xlsx,Pre
15.0,165.0,1497.40002441406,1506.69995117187,1080.0,2080.0,S1C4 03062025.xlsx,Pre
15.0,165.0,1551.30004882812,1568.5,1080.0,2080.0,S1C4 03062025.xlsx,Pre
15.0,165.0,2041.90002441406,2079.60009765625,1080.0,2080.0,S1C4 03062025.xlsx,Pre
