,BrainRegion,Class,Num_cells,id,channel
337,Nucleus of Darkschewitsch,positive,307,BRAC5872.1f,cfos
338,Nucleus of reuniens,negative,6,BRAC5872.1f,cfos
339,Nucleus of reuniens,positive,2334,BRAC5872.1f,cfos
340,"Nucleus of the lateral olfactory tract, layer 3",negative,7,BRAC5872.1f,cfos
341,"Nucleus of the lateral olfactory tract, layer 3",positive,156,BRAC5872.1f,cfos
342,"Nucleus of the lateral olfactory tract, molecular layer",negative,27,BRAC5872.1f,cfos
343,"Nucleus of the lateral olfactory tract, molecular layer",positive,203,BRAC5872.1f,cfos
344,"Nucleus of the lateral olfactory tract, pyramidal layer",negative,49,BRAC5872.1f,cfos
345,"Nucleus of the lateral olfactory tract, pyramidal layer",positive,364,BRAC5872.1f,cfos
346,Nucleus of the optic tract,negative,4,BRAC5872.1f,cfos
347,Nucleus of the optic tract,positive,344,BRAC5872.1f,cfos
348,Nucleus of the posterior commissure,negative,21,BRAC5872.1f,cfos
349,Nucleus of the posterior commissure,positive,1261,BRAC5872.1f,cfos
350,Olfactory areas,negative,61,BRAC5872.1f,cfos
351,Olfactory areas,positive,2168,BRAC5872.1f,cfos
352,Olfactory tubercle,negative,165,BRAC5872.1f,cfos
353,Olfactory tubercle,positive,10531,BRAC5872.1f,cfos
354,Olivary pretectal nucleus,negative,0,BRAC5872.1f,cfos
355,Olivary pretectal nucleus,positive,129,BRAC5872.1f,cfos
356,Pallidum,negative,30,BRAC5872.1f,cfos
357,Pallidum,positive,2565,BRAC5872.1f,cfos
358,Paracentral nucleus,negative,0,BRAC5872.1f,cfos
359,Paracentral nucleus,positive,656,BRAC5872.1f,cfos
360,Parafascicular nucleus,negative,3,BRAC5872.1f,cfos
361,Parafascicular nucleus,positive,2195,BRAC5872.1f,cfos
362,Parastrial nucleus,negative,0,BRAC5872.1f,cfos
363,Parastrial nucleus,positive,292,BRAC5872.1f,cfos
364,Parasubthalamic nucleus,negative,1,BRAC5872.1f,cfos
365,Parasubthalamic nucleus,positive,695,BRAC5872.1f,cfos
366,Parataenial nucleus,negative,4,BRAC5872.1f,cfos
367,Parataenial nucleus,positive,1659,BRAC5872.1f,cfos
368,Paraventricular hypothalamic nucleus,negative,46,BRAC5872.1f,cfos
369,Paraventricular hypothalamic nucleus,positive,967,BRAC5872.1f,cfos
370,"Paraventricular hypothalamic nucleus, descending division",negative,6,BRAC5872.1f,cfos
371,"Paraventricular hypothalamic nucleus, descending division",positive,595,BRAC5872.1f,cfos
